vending_transaction_id,vending_machine_id,product_name,purchase_time,amount
1,3,"Clorox (Powder)","2023-07-01 09:20:00",3.25
2,3,"Oxi Clean (Powder)","2023-07-01 11:08:00",3.75
3,3,"Liquid Gain","2023-07-01 13:44:00",4.25
4,3,"Ariel (Laundry Detergent Powder)","2023-07-01 14:46:00",4.00
5,2,"Suavitel (Powder)","2023-07-01 14:57:00",3.50
6,2,"Liquid Tide","2023-07-01 17:50:00",4.50
7,1,"Oxi Clean (Powder)","2023-07-01 18:35:00",3.75
8,1,"Laundry Bag Small","2023-07-02 07:57:00",1.50
9,1,"Liquid Gain","2023-07-02 08:49:00",4.25
10,3,"Laundry Bag Small","2023-07-02 09:57:00",1.50
11,1,"Laundry Bag Large","2023-07-02 11:17:00",2.50
12,1,"Suavitel (Dryer Sheets)","2023-07-02 14:26:00",2.25
13,2,"Gain (Powder)","2023-07-02 17:12:00",3.50
14,3,"Suavitel (Powder)","2023-07-02 17:27:00",3.50
15,3,"Ariel (Laundry Detergent Powder)","2023-07-03 08:39:00",4.00
16,1,"Foca (Laundry Detergent Powder)","2023-07-03 09:21:00",3.75
17,2,"Suavitel (Dryer Sheets)","2023-07-03 11:17:00",2.25
18,3,"Ariel (Laundry Detergent Powder)","2023-07-03 12:03:00",4.00
19,3,"Tide (Powder)","2023-07-03 12:52:00",4.00
20,3,"Laundry Bag Small","2023-07-03 17:23:00",1.50
21,3,"Liquid Tide","2023-07-06 07:22:00",4.50
22,1,"Liquid Gain","2023-07-06 07:59:00",4.25
23,1,"Clorox (Powder)","2023-07-06 11:14:00",3.25
24,1,"Laundry Bag Small","2023-07-06 16:14:00",1.50
25,2,"Laundry Bag Large","2023-07-06 18:37:00",2.50
26,1,"Suavitel (Dryer Sheets)","2023-07-07 07:57:00",2.25
27,2,"Laundry Bag Small","2023-07-07 08:55:00",1.50
28,3,"Suavitel (Dryer Sheets)","2023-07-07 10:12:00",2.25
29,1,"Suavitel (Powder)","2023-07-07 10:34:00",3.50
30,1,"Foca (Laundry Detergent Powder)","2023-07-07 11:35:00",3.75
31,3,"Gain (Powder)","2023-07-07 14:08:00",3.50
32,3,"Tide (Powder)","2023-07-07 14:39:00",4.00
33,1,"Gain (Powder)","2023-07-07 17:55:00",3.50
34,2,"Liquid Gain","2023-07-07 18:00:00",4.25
35,2,"Liquid Gain","2023-07-07 18:08:00",4.25
36,2,"Oxi Clean (Powder)","2023-07-07 18:38:00",3.75
37,2,"Laundry Bag Small","2023-07-08 08:55:00",1.50
38,3,"Liquid Gain","2023-07-08 09:08:00",4.25
39,3,"Suavitel (Dryer Sheets)","2023-07-08 09:15:00",2.25
40,3,"Clorox (Powder)","2023-07-08 10:33:00",3.25
41,1,"Tide (Powder)","2023-07-08 11:40:00",4.00
42,2,"Oxi Clean (Powder)","2023-07-08 13:23:00",3.75
43,3,"Tide (Powder)","2023-07-08 13:48:00",4.00
44,3,"Liquid Gain","2023-07-08 14:39:00",4.25
45,3,"Liquid Tide","2023-07-08 15:47:00",4.50
46,1,"Laundry Bag Small","2023-07-08 16:48:00",1.50
47,1,"Suavitel (Dryer Sheets)","2023-07-09 07:50:00",2.25
48,3,"Foca (Laundry Detergent Powder)","2023-07-09 09:31:00",3.75
49,3,"Liquid Tide","2023-07-09 12:57:00",4.50
50,2,"Suavitel (Powder)","2023-07-09 13:01:00",3.50
51,3,"Liquid Gain","2023-07-09 17:35:00",4.25
52,3,"Clorox (Powder)","2023-07-09 18:56:00",3.25
53,1,"All Soap (Powder)","2023-07-09 18:57:00",3.50
54,2,"Oxi Clean (Powder)","2023-07-10 12:32:00",3.75
55,2,"Suavitel (Powder)","2023-07-10 13:04:00",3.50
56,1,"Liquid Tide","2023-07-10 13:21:00",4.50
57,2,"Liquid Tide","2023-07-10 13:43:00",4.50
58,3,"Oxi Clean (Powder)","2023-07-10 14:57:00",3.75
59,3,"Suavitel (Powder)","2023-07-10 16:06:00",3.50
60,1,"Tide (Powder)","2023-07-11 07:03:00",4.00
61,3,"Laundry Bag Small","2023-07-11 07:36:00",1.50
62,2,"Liquid Tide","2023-07-11 10:57:00",4.50
63,3,"Laundry Bag Large","2023-07-11 16:21:00",2.50
64,3,"Foca (Laundry Detergent Powder)","2023-07-11 17:51:00",3.75
65,3,"Clorox (Powder)","2023-07-11 18:04:00",3.25
66,3,"Oxi Clean (Powder)","2023-07-13 10:18:00",3.75
67,3,"Liquid Gain","2023-07-13 12:48:00",4.25
68,1,"Suavitel (Dryer Sheets)","2023-07-13 14:39:00",2.25
69,3,"Ariel (Laundry Detergent Powder)","2023-07-13 17:11:00",4.00
70,1,"All Soap (Powder)","2023-07-13 17:58:00",3.50
71,2,"Clorox (Powder)","2023-07-14 08:16:00",3.25
72,3,"Gain (Powder)","2023-07-14 08:32:00",3.50
73,3,"Suavitel (Powder)","2023-07-14 09:31:00",3.50
74,3,"Foca (Laundry Detergent Powder)","2023-07-14 09:31:00",3.75
75,2,"Suavitel (Dryer Sheets)","2023-07-14 10:34:00",2.25
76,2,"Oxi Clean (Powder)","2023-07-14 13:51:00",3.75
77,2,"Suavitel (Powder)","2023-07-14 16:13:00",3.50
78,2,"Oxi Clean (Powder)","2023-07-14 16:36:00",3.75
79,2,"Liquid Tide","2023-07-14 18:22:00",4.50
80,2,"Laundry Bag Small","2023-07-15 07:01:00",1.50
81,3,"Ariel (Laundry Detergent Powder)","2023-07-15 07:47:00",4.00
82,3,"Foca (Laundry Detergent Powder)","2023-07-15 08:35:00",3.75
83,3,"Liquid Tide","2023-07-15 10:34:00",4.50
84,3,"Oxi Clean (Powder)","2023-07-15 12:05:00",3.75
85,3,"Liquid Tide","2023-07-15 12:39:00",4.50
86,3,"Foca (Laundry Detergent Powder)","2023-07-15 12:56:00",3.75
87,3,"Laundry Bag Small","2023-07-15 13:15:00",1.50
88,1,"Gain (Powder)","2023-07-15 16:05:00",3.50
89,3,"Laundry Bag Small","2023-07-15 16:44:00",1.50
90,2,"Clorox (Powder)","2023-07-15 17:45:00",3.25
91,1,"Foca (Laundry Detergent Powder)","2023-07-15 17:58:00",3.75
92,3,"Ariel (Laundry Detergent Powder)","2023-07-15 18:45:00",4.00
93,2,"Suavitel (Dryer Sheets)","2023-07-16 08:58:00",2.25
94,3,"Liquid Tide","2023-07-16 09:24:00",4.50
95,2,"Suavitel (Dryer Sheets)","2023-07-16 09:41:00",2.25
96,2,"Clorox (Powder)","2023-07-16 11:40:00",3.25
97,2,"Clorox (Powder)","2023-07-16 12:05:00",3.25
98,2,"Suavitel (Dryer Sheets)","2023-07-16 12:45:00",2.25
99,3,"Gain (Powder)","2023-07-16 13:11:00",3.50
100,1,"Laundry Bag Small","2023-07-16 14:04:00",1.50
101,3,"Tide (Powder)","2023-07-16 14:17:00",4.00
102,2,"Suavitel (Powder)","2023-07-16 16:31:00",3.50
103,1,"Liquid Gain","2023-07-16 16:46:00",4.25
104,1,"Foca (Laundry Detergent Powder)","2023-07-16 17:30:00",3.75
105,3,"All Soap (Powder)","2023-07-17 07:06:00",3.50
106,2,"Suavitel (Powder)","2023-07-17 07:16:00",3.50
107,1,"Suavitel (Powder)","2023-07-17 07:16:00",3.50
108,3,"Liquid Tide","2023-07-17 07:24:00",4.50
109,2,"Foca (Laundry Detergent Powder)","2023-07-17 09:56:00",3.75
110,2,"Suavitel (Dryer Sheets)","2023-07-17 10:38:00",2.25
111,3,"Tide (Powder)","2023-07-17 10:57:00",4.00
112,1,"Clorox (Powder)","2023-07-17 11:13:00",3.25
113,2,"Liquid Gain","2023-07-17 12:03:00",4.25
114,3,"Suavitel (Powder)","2023-07-17 18:54:00",3.50
115,2,"Liquid Tide","2023-07-18 08:10:00",4.50
116,3,"Laundry Bag Small","2023-07-18 13:01:00",1.50
117,3,"Suavitel (Powder)","2023-07-18 14:31:00",3.50
118,1,"Laundry Bag Large","2023-07-18 15:19:00",2.50
119,1,"Clorox (Powder)","2023-07-18 15:32:00",3.25
120,2,"Tide (Powder)","2023-07-18 16:01:00",4.00
121,1,"Suavitel (Dryer Sheets)","2023-07-18 16:54:00",2.25
122,3,"Suavitel (Powder)","2023-07-18 18:46:00",3.50
123,1,"Gain (Powder)","2023-07-20 08:45:00",3.50
124,1,"Liquid Tide","2023-07-20 09:43:00",4.50
125,1,"Ariel (Laundry Detergent Powder)","2023-07-20 10:42:00",4.00
126,1,"Ariel (Laundry Detergent Powder)","2023-07-20 11:23:00",4.00
127,2,"Gain (Powder)","2023-07-20 12:45:00",3.50
128,1,"Laundry Bag Large","2023-07-20 13:57:00",2.50
129,3,"Ariel (Laundry Detergent Powder)","2023-07-20 13:58:00",4.00
130,2,"Foca (Laundry Detergent Powder)","2023-07-20 14:28:00",3.75
131,3,"Suavitel (Dryer Sheets)","2023-07-20 18:46:00",2.25
132,2,"Clorox (Powder)","2023-07-21 08:34:00",3.25
133,3,"Oxi Clean (Powder)","2023-07-21 10:00:00",3.75
134,1,"Laundry Bag Small","2023-07-21 11:47:00",1.50
135,1,"Tide (Powder)","2023-07-21 12:49:00",4.00
136,1,"Foca (Laundry Detergent Powder)","2023-07-21 13:14:00",3.75
137,2,"Clorox (Powder)","2023-07-21 15:36:00",3.25
138,1,"Liquid Tide","2023-07-21 16:15:00",4.50
139,3,"Suavitel (Powder)","2023-07-21 16:52:00",3.50
140,2,"Clorox (Powder)","2023-07-22 08:17:00",3.25
141,2,"Clorox (Powder)","2023-07-22 08:52:00",3.25
142,1,"Laundry Bag Large","2023-07-22 09:09:00",2.50
143,3,"Laundry Bag Small","2023-07-22 10:01:00",1.50
144,3,"Laundry Bag Small","2023-07-22 10:12:00",1.50
145,1,"Ariel (Laundry Detergent Powder)","2023-07-22 12:27:00",4.00
146,3,"Ariel (Laundry Detergent Powder)","2023-07-22 12:29:00",4.00
147,1,"Suavitel (Powder)","2023-07-22 12:39:00",3.50
148,2,"Liquid Tide","2023-07-22 15:38:00",4.50
149,1,"Laundry Bag Small","2023-07-22 16:56:00",1.50
150,1,"Tide (Powder)","2023-07-22 18:01:00",4.00
151,3,"Liquid Gain","2023-07-22 18:25:00",4.25
152,3,"Laundry Bag Large","2023-07-23 07:43:00",2.50
153,2,"Liquid Tide","2023-07-23 07:59:00",4.50
154,2,"Foca (Laundry Detergent Powder)","2023-07-23 08:33:00",3.75
155,2,"Laundry Bag Small","2023-07-23 10:10:00",1.50
156,2,"Suavitel (Dryer Sheets)","2023-07-23 12:15:00",2.25
157,3,"Laundry Bag Small","2023-07-23 14:50:00",1.50
158,2,"Liquid Tide","2023-07-23 17:47:00",4.50
159,3,"Liquid Tide","2023-07-23 17:53:00",4.50
160,1,"Liquid Tide","2023-07-24 07:09:00",4.50
161,1,"Suavitel (Dryer Sheets)","2023-07-24 13:09:00",2.25
162,1,"Tide (Powder)","2023-07-24 13:32:00",4.00
163,2,"Laundry Bag Small","2023-07-24 14:06:00",1.50
164,3,"Suavitel (Dryer Sheets)","2023-07-24 16:56:00",2.25
165,3,"Oxi Clean (Powder)","2023-07-25 07:18:00",3.75
166,3,"Liquid Gain","2023-07-25 09:17:00",4.25
167,3,"Suavitel (Dryer Sheets)","2023-07-25 09:38:00",2.25
168,3,"Liquid Tide","2023-07-25 10:07:00",4.50
169,2,"Liquid Gain","2023-07-25 14:14:00",4.25
170,2,"Tide (Powder)","2023-07-25 15:51:00",4.00
171,2,"Foca (Laundry Detergent Powder)","2023-07-25 16:36:00",3.75
172,3,"Tide (Powder)","2023-07-25 17:52:00",4.00
173,1,"Suavitel (Dryer Sheets)","2023-07-27 08:33:00",2.25
174,1,"Suavitel (Powder)","2023-07-27 08:58:00",3.50
175,2,"Laundry Bag Large","2023-07-27 11:37:00",2.50
176,3,"Suavitel (Dryer Sheets)","2023-07-27 12:49:00",2.25
177,3,"Suavitel (Dryer Sheets)","2023-07-27 15:46:00",2.25
178,2,"Liquid Gain","2023-07-27 17:18:00",4.25
179,3,"Tide (Powder)","2023-07-27 17:39:00",4.00
180,2,"Laundry Bag Small","2023-07-28 07:12:00",1.50
181,3,"Ariel (Laundry Detergent Powder)","2023-07-28 08:27:00",4.00
182,1,"Gain (Powder)","2023-07-28 09:32:00",3.50
183,1,"Foca (Laundry Detergent Powder)","2023-07-28 12:25:00",3.75
184,2,"All Soap (Powder)","2023-07-28 12:51:00",3.50
185,2,"Ariel (Laundry Detergent Powder)","2023-07-28 13:37:00",4.00
186,2,"Clorox (Powder)","2023-07-28 13:41:00",3.25
187,1,"Laundry Bag Large","2023-07-28 14:16:00",2.50
188,1,"Tide (Powder)","2023-07-28 15:15:00",4.00
189,2,"Laundry Bag Small","2023-07-29 10:38:00",1.50
190,2,"Clorox (Powder)","2023-07-29 11:32:00",3.25
191,1,"Liquid Gain","2023-07-29 13:39:00",4.25
192,2,"Laundry Bag Large","2023-07-29 14:59:00",2.50
193,3,"Clorox (Powder)","2023-07-29 17:56:00",3.25
194,1,"Foca (Laundry Detergent Powder)","2023-07-30 07:45:00",3.75
195,1,"Laundry Bag Large","2023-07-30 08:15:00",2.50
196,3,"Clorox (Powder)","2023-07-30 11:39:00",3.25
197,3,"Foca (Laundry Detergent Powder)","2023-07-30 14:56:00",3.75
198,3,"Liquid Tide","2023-07-30 16:46:00",4.50
199,1,"Liquid Tide","2023-07-30 16:52:00",4.50
200,1,"Laundry Bag Large","2023-07-30 17:41:00",2.50
